from_date,title,count
8/1/2002,Senior Engineer,3
8/1/2002,Senior Staff,1
7/31/2002,Senior Engineer,3
7/31/2002,Engineer,1
7/31/2002,Senior Staff,4
7/30/2002,Senior Engineer,1
7/30/2002,Senior Staff,1
7/29/2002,Senior Staff,2
7/29/2002,Senior Engineer,2
7/28/2002,Senior Staff,3
7/28/2002,Senior Engineer,2
7/27/2002,Senior Staff,3
7/27/2002,Senior Engineer,2
7/26/2002,Senior Staff,1
7/26/2002,Engineer,1
7/25/2002,Senior Engineer,1
7/24/2002,Senior Staff,2
7/24/2002,Senior Engineer,2
7/23/2002,Engineer,1
7/22/2002,Senior Engineer,1
7/21/2002,Senior Engineer,3
7/21/2002,Senior Staff,1
7/20/2002,Senior Staff,1
7/20/2002,Senior Engineer,1
7/19/2002,Senior Staff,3
7/19/2002,Senior Engineer,1
7/19/2002,Engineer,1
7/18/2002,Senior Engineer,2
7/18/2002,Senior Staff,1
7/17/2002,Senior Engineer,2
7/14/2002,Senior Staff,3
7/14/2002,Senior Engineer,2
7/13/2002,Senior Engineer,2
7/13/2002,Senior Staff,1
7/11/2002,Senior Engineer,2
7/10/2002,Senior Engineer,1
7/10/2002,Senior Staff,4
7/9/2002,Senior Staff,2
7/9/2002,Senior Engineer,5
7/8/2002,Engineer,1
7/8/2002,Senior Staff,1
7/8/2002,Senior Engineer,3
7/7/2002,Senior Staff,2
7/7/2002,Senior Engineer,3
7/6/2002,Senior Engineer,1
7/6/2002,Senior Staff,3
7/5/2002,Senior Engineer,1
7/5/2002,Senior Staff,4
7/4/2002,Senior Staff,3
7/4/2002,Senior Engineer,4
7/3/2002,Senior Staff,1
7/2/2002,Senior Engineer,1
7/2/2002,Senior Staff,4
7/1/2002,Senior Engineer,2
6/30/2002,Senior Staff,3
6/30/2002,Senior Engineer,2
6/29/2002,Senior Engineer,2
6/29/2002,Senior Staff,2
6/28/2002,Senior Staff,2
6/28/2002,Senior Engineer,2
6/26/2002,Senior Engineer,1
6/25/2002,Senior Engineer,2
6/25/2002,Senior Staff,1
6/24/2002,Senior Engineer,5
6/23/2002,Senior Staff,1
6/23/2002,Senior Engineer,3
6/22/2002,Senior Engineer,5
6/21/2002,Senior Engineer,2
6/21/2002,Senior Staff,2
6/19/2002,Engineer,1
6/19/2002,Senior Staff,1
6/18/2002,Senior Staff,2
6/18/2002,Senior Engineer,2
6/17/2002,Senior Engineer,3
6/17/2002,Senior Staff,4
6/16/2002,Senior Engineer,4
6/16/2002,Senior Staff,1
6/15/2002,Senior Staff,1
6/14/2002,Senior Staff,1
6/14/2002,Engineer,1
6/14/2002,Senior Engineer,1
6/13/2002,Senior Engineer,4
6/13/2002,Senior Staff,1
6/12/2002,Senior Engineer,2
6/11/2002,Senior Engineer,1
6/10/2002,Senior Staff,1
6/10/2002,Engineer,1
6/9/2002,Senior Staff,2
6/9/2002,Senior Engineer,2
6/8/2002,Senior Engineer,2
6/7/2002,Senior Engineer,3
6/7/2002,Senior Staff,1
6/6/2002,Senior Staff,1
6/6/2002,Senior Engineer,4
6/5/2002,Senior Engineer,2
6/4/2002,Senior Engineer,1
6/3/2002,Senior Engineer,2
6/3/2002,Senior Staff,2
6/2/2002,Senior Engineer,2
6/2/2002,Senior Staff,2
6/1/2002,Senior Engineer,4
6/1/2002,Senior Staff,2
5/31/2002,Senior Engineer,1
5/30/2002,Senior Engineer,1
5/29/2002,Senior Staff,1
5/29/2002,Senior Engineer,1
5/28/2002,Senior Staff,4
5/27/2002,Senior Staff,1
5/27/2002,Senior Engineer,3
5/26/2002,Senior Engineer,3
5/26/2002,Senior Staff,2
5/25/2002,Senior Staff,1
5/24/2002,Senior Engineer,3
5/23/2002,Senior Engineer,2
5/23/2002,Senior Staff,1
5/21/2002,Senior Engineer,3
5/21/2002,Senior Staff,4
5/20/2002,Senior Engineer,1
5/20/2002,Engineer,1
5/19/2002,Senior Engineer,2
5/19/2002,Senior Staff,3
5/18/2002,Senior Engineer,2
5/17/2002,Senior Engineer,1
5/17/2002,Senior Staff,1
5/16/2002,Senior Engineer,1
5/16/2002,Senior Staff,3
5/15/2002,Senior Staff,2
5/14/2002,Senior Staff,1
5/13/2002,Senior Engineer,2
5/13/2002,Senior Staff,2
5/12/2002,Senior Staff,2
5/11/2002,Senior Engineer,1
5/11/2002,Senior Staff,2
5/10/2002,Senior Staff,4
5/10/2002,Senior Engineer,1
5/9/2002,Senior Engineer,1
5/9/2002,Engineer,1
5/9/2002,Senior Staff,3
5/8/2002,Senior Engineer,3
5/8/2002,Senior Staff,1
5/7/2002,Senior Engineer,4
5/7/2002,Senior Staff,2
5/6/2002,Senior Staff,1
5/6/2002,Senior Engineer,2
5/5/2002,Senior Engineer,2
5/5/2002,Senior Staff,2
5/4/2002,Senior Engineer,1
5/3/2002,Senior Engineer,3
5/2/2002,Senior Engineer,2
5/2/2002,Senior Staff,3
5/1/2002,Senior Engineer,1
5/1/2002,Senior Staff,2
4/30/2002,Senior Staff,4
4/30/2002,Senior Engineer,1
4/29/2002,Senior Staff,2
4/29/2002,Senior Engineer,3
4/28/2002,Senior Staff,2
4/28/2002,Senior Engineer,2
4/27/2002,Senior Staff,4
4/26/2002,Senior Engineer,2
4/26/2002,Senior Staff,1
4/25/2002,Engineer,1
4/24/2002,Senior Engineer,1
4/23/2002,Senior Staff,1
4/23/2002,Senior Engineer,1
4/22/2002,Senior Engineer,2
4/22/2002,Senior Staff,1
4/21/2002,Senior Engineer,5
4/21/2002,Senior Staff,1
4/20/2002,Senior Staff,1
4/19/2002,Senior Engineer,1
4/19/2002,Senior Staff,2
4/18/2002,Senior Engineer,2
4/17/2002,Senior Engineer,1
4/17/2002,Senior Staff,1
4/16/2002,Senior Engineer,4
4/16/2002,Senior Staff,1
4/15/2002,Senior Engineer,3
4/15/2002,Senior Staff,2
4/14/2002,Senior Engineer,1
4/14/2002,Senior Staff,3
4/13/2002,Senior Engineer,3
4/13/2002,Senior Staff,1
4/12/2002,Senior Engineer,2
4/12/2002,Senior Staff,1
4/11/2002,Senior Staff,1
4/11/2002,Senior Engineer,2
4/9/2002,Senior Staff,1
4/8/2002,Senior Engineer,4
4/6/2002,Senior Staff,2
4/5/2002,Engineer,1
4/5/2002,Senior Staff,1
4/4/2002,Senior Staff,1
4/2/2002,Senior Engineer,2
4/2/2002,Senior Staff,3
4/1/2002,Senior Engineer,1
3/31/2002,Senior Staff,1
3/31/2002,Senior Engineer,1
3/30/2002,Senior Staff,1
3/30/2002,Senior Engineer,1
3/29/2002,Senior Staff,2
3/29/2002,Senior Engineer,2
3/28/2002,Senior Staff,1
3/28/2002,Senior Engineer,1
3/28/2002,Engineer,1
3/27/2002,Engineer,1
3/26/2002,Senior Staff,1
3/26/2002,Senior Engineer,2
3/25/2002,Senior Engineer,4
3/25/2002,Engineer,2
3/25/2002,Senior Staff,2
3/24/2002,Senior Staff,2
3/24/2002,Senior Engineer,2
3/23/2002,Senior Engineer,3
3/23/2002,Senior Staff,1
3/21/2002,Engineer,2
3/21/2002,Senior Engineer,2
3/20/2002,Senior Engineer,1
3/20/2002,Senior Staff,2
3/19/2002,Senior Staff,2
3/19/2002,Senior Engineer,3
3/18/2002,Senior Engineer,1
3/18/2002,Senior Staff,3
3/17/2002,Senior Staff,3
3/16/2002,Senior Engineer,4
3/16/2002,Senior Staff,5
3/15/2002,Senior Engineer,1
3/14/2002,Senior Engineer,1
3/14/2002,Senior Staff,4
3/13/2002,Senior Engineer,1
3/13/2002,Senior Staff,2
3/12/2002,Senior Staff,1
3/11/2002,Senior Staff,1
3/10/2002,Senior Staff,1
3/10/2002,Senior Engineer,3
3/9/2002,Senior Engineer,1
3/9/2002,Senior Staff,2
3/8/2002,Senior Engineer,2
3/8/2002,Senior Staff,1
3/7/2002,Senior Staff,2
3/7/2002,Senior Engineer,1
3/6/2002,Senior Staff,1
3/4/2002,Senior Staff,3
3/4/2002,Senior Engineer,1
3/3/2002,Senior Engineer,2
3/3/2002,Engineer,1
3/3/2002,Senior Staff,1
3/2/2002,Senior Engineer,3
3/1/2002,Senior Engineer,3
3/1/2002,Senior Staff,3
